Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
CHE 411,TRANSPORT PHENOMENA III,CHE,400,FIRST,3,CORE,No,EXISTS
CHE 413,CHEMICAL REACTION ENGINEERING I,CHE,400,FIRST,2,CORE,No,MISSING
CHE 415,CHEMICAL ENGINEERING THERMODYNAMICS II,CHE,400,FIRST,2,CORE,No,EXISTS
CHE 417,PLANT DESIGN I,CHE,400,FIRST,3,CORE,No,EXISTS
CHE 419,SEPERATION PROCESS II,CHE,400,FIRST,3,CORE,No,EXISTS
CHE 421,CHEMICAL ENGINEERING ANALYSIS,CHE,400,FIRST,2,CORE,No,MISSING
CHE 423,ENVIRONMENTAL ENGINEERING,CHE,400,FIRST,3,CORE,No,MISSING
CHE 500,RESEARCH PROJECT,CHE,500,SECOND,6,CORE,No,MISSING
CHE 501,CHEMICAL ENGINEERING LABORATORY III,CHE,500,FIRST,1,CORE,No,MISSING
CHE 511,PROCESS OPTIMISATION,CHE,500,FIRST,2,CORE,No,EXISTS
CHE 512,LOSS PREVENTION IN PROCESS INDUSTRIES,CHE,500,SECOND,2,CORE,No,MISSING
CHE 513,CHEMICAL REACTION ENGINEERING II,CHE,500,FIRST,2,CORE,No,MISSING
CHE 514,PROCESS CONTROL II,CHE,500,SECOND,2,CORE,No,MISSING
CHE 515,PROCESS CONTROL I,CHE,500,FIRST,2,CORE,No,EXISTS
CHE 516,RESERVOIR ENGINEERING,CHE,500,SECOND,3,CORE,No,MISSING
CHE 517,SEPERATION PROCESSES III,CHE,500,FIRST,3,CORE,No,MISSING
CHE 518,PLANT DESIGN II,CHE,500,SECOND,5,CORE,No,MISSING
CHE 519,POLYMER SCIENCE AND TECHNOLOGY,CHE,500,FIRST,3,CORE,No,EXISTS
CHE 520,PETROCHEMICAL SCIENCE AND TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING
CHE 521,BIOCHEMICAL ENGINEERING II,CHE,500,FIRST,3,CORE,No,MISSING
CHE 522,FERMENTATION TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING
CHE 523,TECHNOLOGY PF FOSSIL FUEL PROCESSING,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING
CHE 524,COAL PROCESSING TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING
CHE 525,SUGAR TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING
CHE 526,CEMENT AND CEMENT TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING
CHE 527,DETERGENT TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING
CHE 529,PULP AND PAPER TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING
CHE 531,PETROLEUM REFINING TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,EXISTS
CHM 101,GENERAL CHEMISTRY I,CHM,100,FIRST,2,CORE,No,EXISTS
CHM 102,GENERAL CHEMISTRY II,CHM,100,SECOND,2,CORE,No,MISSING
CHM 107,GENERAL PRACTICAL CHEMISTRY 1,CHM,100,FIRST,1,CORE,No,MISSING
CHM 108,GENERAL PRACTICAL CHEMISTRY II,CHM,100,SECOND,1,CORE,No,MISSING
COE 101,INTRODUCTION TO COMPUTER ENGINEERING,COE,100,FIRST,2,CORE,No,MISSING
COE 302,OBJECT ORIENTED PROGRAMMING,COE,300,SECOND,3,CORE,No,EXISTS
COE 304,COMPUTER ARCHITECTURE AND ORGANIZATION,COE,300,SECOND,3,CORE,No,MISSING
COE 307,COMPUTER ENGINEERING LABORATORY,COE,300,FIRST,1,CORE,No,MISSING
COE 308,COMPUTER ENGINEERING LABORATORY,COE,300,SECOND,1,CORE,No,MISSING
COE 310,ANALYSIS OF ALGORITHMS AND DATA STRUCTURES,COE,300,SECOND,2,CORE,No,MISSING
COE 341,SOFTWARE DEVELOPMENT TECHNIQUES,COE,300,FIRST,3,CORE,No,MISSING
COE 405,NUMERICAL COMPUTATIONS,COE,400,FIRST,3,CORE,No,EXISTS
COE 409,PROTOTYPING TECHNIQUES,COE,400,FIRST,2,CORE,No,EXISTS
COE 411,COMPUTER ENGINEERING LABORATORY III,COE,400,FIRST,1,CORE,No,MISSING
COE 413,OPERATING SYSTEM,COE,400,FIRST,2,CORE,No,EXISTS
COE 415,ASSEMBLY LANGUAGE PROGRAMMING,COE,400,FIRST,2,CORE,No,MISSING
COE 427,DATA COMMUNICATION AND NETWORKS,COE,400,FIRST,3,CORE,No,EXISTS
COE 441,CONTROL THEORY AND SYSTEMS,COE,400,FIRST,3,CORE,No,EXISTS
COE 501,ARTIFICIAL NEUTRAL NETWORK,COE,500,FIRST,2,CORE,No,EXISTS
COE 502,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,COE,500,SECOND,2,CORE,No,EXISTS
COE 503,COMPUTER SECURITY TECNIQUES,COE,500,FIRST,3,CORE,No,EXISTS
COE 504,EMBEDDED SYSTEMS DESIGN,COE,500,SECOND,3,CORE,No,EXISTS
COE 505,SOFTWARE ENGINEERING,COE,500,FIRST,3,CORE,No,EXISTS
COE 506,DIGITAL SYSTEM DESIGN WITH VDHL,COE,500,SECOND,3,CORE,No,MISSING
COE 507,MODELLING AND SIMULATION OF COMPUTER SYSTEMS,COE,500,FIRST,2,CORE,No,EXISTS
COE 508,COMPUTER GRAPHICS AND ANIMATION,COE,500,SECOND,3,CORE,No,EXISTS
COE 509,MICROPROCESSOR SYSTEM AND INTERFACING,COE,500,FIRST,3,CORE,No,EXISTS
COE 511,DIGITAL SIGNAL PROCESSING,COE,500,FIRST,3,CORE,No,MISSING
COE 512,RELIABILITY AND MAINTAINABILITY,COE,500,SECOND,3,CORE,No,MISSING
COE 514,CYBER-PRENEURSHIP AND CYBER LAW,COE,500,SECOND,2,CORE,No,MISSING
COE 515,NATURAL LANGUAGE AND SPEECH PROCESSING,COE,500,FIRST,2,ELECTIVE,Yes,MISSING
COE 516,DIGITAL IMAGING PROCESSING,COE,500,SECOND,2,ELECTIVE,Yes,MISSING
COE 517,FUZZY LOGIC AND PROGRAMMING,COE,500,FIRST,2,ELECTIVE,Yes,MISSING
COE 518,CRYPTOGRAPHY PRINCIPLES AND APPLICATIONS,COE,500,SECOND,2,ELECTIVE,Yes,MISSING
COE 519,ROBOTIC AND AUTOMATION,COE,500,FIRST,2,ELECTIVE,Yes,MISSING
COE 520,INTRODUCTION TO MOBILE COMPUTING,COE,500,SECOND,2,ELECTIVE,Yes,EXISTS
COE 522,DESIGN AND INSTALLATION OF ELECTRICAL DEVICES AND ICT,COE,500,SECOND,2,ELECTIVE,Yes,MISSING
COE 599,PROJECT,COE,500,SECOND,6,CORE,No,MISSING
CV E 511,CIVIL ENGINEERING SEMINAR,CV,500,FIRST,2,CORE,No,MISSING
CVE 301,BASIC CIVIL ENGINEERING,CVE,300,FIRST,2,CORE,No,EXISTS
CVE 302,BASIC HYDROLOGY,CVE,300,SECOND,3,CORE,No,EXISTS
CVE 303,FLUID MECHANICS FOR CIVIL ENGINEERS,CVE,300,FIRST,3,CORE,No,EXISTS
CVE 304,STRUCTURAL MECHANICS,CVE,300,SECOND,2,CORE,No,EXISTS
CVE 305,ADVANCED STRENGTH OF MATERIALS,CVE,300,FIRST,2,CORE,No,EXISTS
