Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status,Priority,Category
BME 318,BIOMEDICAL ENGINEERING LAB II,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 321,MECHANICS OF BIOLOGICAL FLUIDS,BME,300,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 322,SYSTEMS BIOENGINEERING I,BME,300,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 323,THEORY OF DESIGN FOR BIOMEDICAL DEVICES,BME,300,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 328,INTRODUCTION TO CLINICAL ENGINEERING,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 331,THERMODYNAMICS OF BIOLOGICAL SYSTEMS,BME,300,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 341,BIOMATERIALS ENGINEERING I,BME,300,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 342,BIOMECHANICS I,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 352,INTRODUCTION TO MOLECULAR AND CELL BIOLOGY,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 362,MECHANISMS OF BIOMEDICAL DEVICES,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 411,DIGITAL CONTROL SYSTEMS FOR BME,BME,400,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 413,INTRODUCTION TO BIONIC PROSTHESIS AND ORTHOTICS,BME,400,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 423,SYSTEMS BIOENGINEERING II,BME,400,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 431,CLINICAL REFRIDGIRATION AND AIR CONDITIONING,BME,400,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 441,BIOMATERIALS ENGINEERING II,BME,400,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
